"Url","Nom","Prix","Marque","ratingValue","ratingCount","Nombre de couverts","Format","Classe énergétique","Consommation d'eau","Consommation d'eau par cycle","Consommation d'énergie","Niveau sonore (Norme EN 60704-3)","Nombre de programmes","Qualité de séchage","Sécurités","Hauteur","Largeur (cm)","Profondeur (cm)","Finition","Origine de fabrication","Disponibilité des pièces détachées"
"https://www.darty.com/nav/achat/gros_electromenager/lave-vaisselle/lave-vaisselle/miele_g_4942_sc.html","Miele G 4942 SC",799,"Miele","4.60",18,14,"Standard","A++",2772,"Moins de 10 L",266,44,5,"A","Verrouillage sécurité enfants, Aquasécurité.",84,60,60,"Blanc","République Tchèque",11
"https://www.darty.com/nav/achat/gros_electromenager/lave-vaisselle/lave-vaisselle/miele_g_6630_sc.html","Miele G 6630 SC",899,"Miele","4.80",38,14,"Standard","A+++",2716,"Moins de 10 L",237,43,6,"A","Verrouillage Sécurité enfants, Aquasécurité","84,5","59,8",60,"Blanc","République Tchèque",11
"https://www.darty.com/nav/achat/gros_electromenager/lave-vaisselle/lave-vaisselle/bosch_sks51e26eu.html","Bosch SKS51E26EU",329,"Bosch","4.50",12,6,"Compact","A+",2240,"Moins de 10 L",174,48,5,"A","Multiple sécurité anti-fuite",45,"55,1",50,"Noir","Espagne",10
"https://www.darty.com/nav/achat/gros_electromenager/lave-vaisselle/lave-vaisselle/whirlpool_wfo3t121px.html","Whirlpool WFO3T121PX",649,"Whirlpool",,0,14,"Standard","A++",2520,"Moins de 10 L",265,41,10,"A","aquastop",85,60,60,"Acier","Pologne",7
"https://www.darty.com/nav/achat/gros_electromenager/lave-vaisselle/lave-vaisselle/beko_df16dn46w.html","Beko DF16DN46W",329,"Beko","3.80",4,13,"Standard","A+",3080,"10 L et plus",295,46,6,"A","Anti-débordement + anti-fuite",85,"59,8",60,"Blanc","Turquie",10
"https://www.darty.com/nav/achat/gros_electromenager/lave-vaisselle/lave-vaisselle/beko_df18dn44w.html","Beko DF18DN44W",449,"Beko","4.30",3,14,"Standard","A++",2660,"Moins de 10 L",266,44,8,"A","Anti-débordement + anti-fuite",85,"59,8",60,"Blanc","Turquie",10
"https://www.darty.com/nav/achat/gros_electromenager/lave-vaisselle/lave-vaisselle/siemens_sn236w01ge.html","Siemens SN236W01GE",549,"Siemens","4.70",9,12,"Standard","A++",2660,"Moins de 10 L",258,46,6,"A","Sécurité aquaStop 100% anti fuite, avec garantie - Sécurité enfants.","84,5",60,60,"Blanc","Pologne",10
"https://www.darty.com/nav/achat/gros_electromenager/lave-vaisselle/lave-vaisselle/aeg_f87792_flat_inox.html","Aeg F87792M0P",749,"Aeg","4.30",4,15,"Standard","A+++",3080,"10 L et plus",241,42,8,"A","Anti-débordement",85,"59,6",61,"Inox","Italie",10
"https://www.darty.com/nav/achat/gros_electromenager/lave-vaisselle/lave-vaisselle/miele_g_6000_sc.html","Miele G 6000 SC",999,"Miele",4,1,14,"Standard","A+++",2716,"Moins de 10 L",237,44,6,"A","Aquasécurité, Verrouillage de porte avec sécurité enfants","84,5","59,8",60,"Blanc","République Tchèque",11
"https://www.darty.com/nav/achat/gros_electromenager/lave-vaisselle/lave-vaisselle/siemens_sn215i02ae.html","Siemens SN215I02AE",549,"Siemens","4.10",10,12,"Standard","A+",2660,"Moins de 10 L",290,46,5,"A","Aquastop 100% anti-fuite, avec garantie.","84,5",60,60,"Silver","Pologne",10
"https://www.darty.com/nav/achat/gros_electromenager/lave-vaisselle/lave-vaisselle/siemens_sn236w04ie.html","Siemens SN236W04IE",529,"Siemens","4.90",7,13,"Standard","A+",2660,"Moins de 10 L",294,46,6,"A","Sécurité aquaStop 100% anti fuite, Sécurité enfants.","84,5",60,60,"Blanc","Espagne",10
